LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2009,1.8725986111,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.4663691624,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2011,2.6695883251,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2012,3.9279810961,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.2221083522,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.5417280409,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2015,2.5138852504,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.5718825522,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.2431734751,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2018,3.0575646775,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.9340334973,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.5935115551,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2009,-3.6456867455,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.8816290338,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.0267220865,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.6154991151,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2013,-0.0249974013,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2014,0.7757965644,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.0999325165,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.0361390252,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.719169636,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.6280795379,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.9475285291,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.9033143735,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.2504568397,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.7441570631,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.7986118451,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.2346054105,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2013,0.2012538907,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2014,1.2543258983,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.7159734546,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.4889025378,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2017,1.6933586713,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2018,1.5115013737,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.4220197755,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.3566215503,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.9495719112,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2010,3.0834650953,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.1412199901,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2012,1.7455185516,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.4750164704,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.8557091227,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.0009251425,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.4140739983,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2017,3.0473780139,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.1172124478,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.188854086,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.8907656509,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2009,-4.6661496622,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.1259458165,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.7804334964,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2012,-0.728140098,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2013,-0.4850784799,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.7145656027,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2015,5.3827085844,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.3601418485,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2017,4.4759349279,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.9964087208,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.699677299,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.61622156,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2009,-4.9065255581,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.8709926387,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.3367746667,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.2264684759,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2013,0.9333492815,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2014,1.6193749707,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2015,2.3426202744,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.3996821901,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.2623663093,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2018,1.1740400191,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.9276249018,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.6441003788,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2009,-8.2690365583,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.9923375022,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2011,2.5708177445,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2012,-1.4261893596,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2013,-0.7585649115,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2014,-0.6317314555,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2015,0.1350829795,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.4774630094,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.7973379581,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.8111984186,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.8220587158,
FIN,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.5740555364,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.808388801,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.8652325432,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2011,2.2278519534,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.3822485734,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2013,0.5927224338,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2014,0.9940203865,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.027557238,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.1105487872,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.2938965025,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2018,1.6143986779,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.6041627301,
FRA,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.4667867258,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2009,-5.5603374075,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2010,3.9372949326,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.720499073,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.6908379429,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2013,0.6069329495,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.1770232248,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.4818790693,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.1570160511,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.4558797047,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2018,1.5716943624,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.607873509,
DEU,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.3701924,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2009,-4.3007374728,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2010,-5.4790688222,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2011,-9.1324922113,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2012,-7.3004847872,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2013,-3.2414242623,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2014,0.7398091011,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2015,-0.4378560679,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2016,-0.1909364709,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2017,1.5050913482,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.1412283435,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.190916472,
GRC,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.1180516126,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2009,-6.5623086888,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2010,0.5934594873,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.6685166901,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2012,-1.5099701255,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.183511277,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2014,4.1156732101,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2015,3.4777139835,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.179397741,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2017,4.3696913361,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2018,4.6461658857,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2019,3.873584856,
HUN,REALGDPFORECAST,TOT,AGRWTH,A,2020,3.3082132556,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2009,-6.7772150538,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2010,-3.4358755985,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.8816203227,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2012,1.2964375901,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2013,4.1338511018,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.0802871988,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2015,4.467860505,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2016,7.3514753066,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2017,3.9891444504,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2018,3.777400052,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.8411560757,
ISL,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.5828183012,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2009,-5.0544772739,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.8786919273,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.6775141717,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.1930154494,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2013,1.3376974448,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2014,8.7518418845,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2015,25.009260146,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2016,4.9071454746,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2017,7.2045583344,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2018,5.9211449742,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2019,4.0543065244,
IRL,REALGDPFORECAST,TOT,AGRWTH,A,2020,3.4490317347,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2009,-5.5342101728,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.6482827574,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2011,0.720038054,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2012,-2.851726148,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2013,-1.7493228733,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2014,0.1823283145,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2015,0.8287143212,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2016,0.9721425448,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2017,1.5725388647,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2018,0.995249837,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2019,0.9308732951,
ITA,REALGDPFORECAST,TOT,AGRWTH,A,2020,0.9412182697,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2009,-5.4164127967,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2010,4.1917392586,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2011,-0.1154213397,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2012,1.4950895859,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.0002678411,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2014,0.3747194763,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.353823114,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2016,0.9616482506,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2017,1.718651211,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2018,0.8653381825,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2019,0.9574658489,
JPN,REALGDPFORECAST,TOT,AGRWTH,A,2020,0.6821026407,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2009,0.7075184826,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2010,6.4967851689,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.6817046665,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2012,2.2923900489,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.8962123868,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2014,3.3414402773,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2015,2.7902291593,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.9293186296,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2017,3.062761636,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.6563646141,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.7718390239,
KOR,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.8579673299,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2009,-4.3742478692,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2010,4.8593747112,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2011,2.5439936553,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2012,-0.3615926616,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2013,3.6667342187,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2014,4.3072265107,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2015,3.9303784263,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.4042098047,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2017,1.5502919088,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.9881414849,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.9079515181,
LUX,REALGDPFORECAST,TOT,AGRWTH,A,2020,3.2095781455,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2009,-5.0381664378,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2010,5.1274526427,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.670487836,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2012,3.3923004336,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2013,1.6197192899,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.8105131018,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2015,3.309153998,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.6281836447,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.3110295237,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.2119493164,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.5301591609,
MEX,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.8043097544,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2009,-3.6727448386,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.3017161619,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.5406328948,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2012,-1.0310653255,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2013,-0.0838476488,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2014,1.4306522527,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.960213632,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.1417610808,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.961354151,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.6682557073,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.4510975446,
NLD,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.09310785,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2009,0.3438775191,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.9761098717,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.9016099175,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2012,2.5612282686,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.2123116559,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2014,3.2623950964,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2015,4.2383224232,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2016,4.1298563065,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.7092064466,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.9308661542,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.8459579729,
NZL,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.6316956991,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2009,-1.6909969608,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2010,0.6916630708,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2011,0.9719348771,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2012,2.721626795,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2013,1.0443890777,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2014,1.9751174445,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.9700529348,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.1873547641,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2017,1.9804377489,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2018,1.5699017529,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.9095087959,
NOR,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.3310031341,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2009,2.8201839731,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2010,3.6069282614,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2011,5.0173043898,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2012,1.6079055852,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2013,1.3918914187,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2014,3.3184454148,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2015,3.8389451675,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2016,3.0625985414,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2017,4.8058009003,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2018,5.2245066531,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2019,3.979437818,
POL,REALGDPFORECAST,TOT,AGRWTH,A,2020,3.2696191614,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.9781047807,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.8986917246,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2011,-1.8268529086,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2012,-4.0282567105,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2013,-1.1301552392,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2014,0.8931870835,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.8220662784,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.925736245,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.7950459493,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.1533499905,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.0501430009,
PRT,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.9437452175,
SVK,REALGDPFORECAST,TOT,AGRWTH,A,2009,-5.4225423133,
SVK,REALGDPFORECAST,TOT,AGRWTH,A,2010,5.041716665,
SVK,REALGDPFORECAST,TOT,AGRWTH,A,2011,2.8190995176,
SVK,REALGDPFORECAST,TOT,AGRWTH,A,2012,1.6571486872,
SVK,REALGDPFORECAST,TOT,AGRWTH,A,2013,1.490646452,
